LLM_Name,Test_ID,Timestamp,Total_Questions,Correct_Answers,Accuracy_Percentage
nova-pro-run2_PAST,test_20250628_161248,20250628_171356,200,72,36.0
nova-premier-run2_PAST,test_20250628_173126,20250628_185314,200,80,40.0
qwen3-turbo-latest-run2_PAST,test_20250629_101149,20250629_111841,200,109,54.5
